County Name,Census Tract ID,Count,Population,"Age Adjusted Rate per 100,000",Lower CI,Upper CI
Adams,53001950100,63,12424,357.86,266.98,479.24
Adams,53001950200,31,8746,277.8,183.54,419
Adams,53001950300,75,36134,469.5,352.18,621.17
Adams,53001950400,34,15586,290.42,199.77,410.48
Adams,53001950500,59,26070,475.32,349.05,647.59
Asotin,53003960100,106,22530,285.15,227.17,364.5
Asotin,53003960200,133,23915,318.49,258.56,394.55
Asotin,53003960300,87,18997,363.1,286.7,458.62
Asotin,53003960400,50,11191,283.59,204.79,400.73
Asotin,53003960500,89,16992,322.75,255.99,410.86
Asotin,53003960600,82,17766,286.89,222.37,372.52
Benton,53005010100,147,22663,400.57,327.42,495.25
Benton,53005010201,142,26089,428.28,355.3,517.07
Benton,53005010202,126,32687,317.68,261.75,385.12
Benton,53005010300,122,27319,353.59,291.61,427.68
Benton,53005010400,85,18108,454.34,360.92,568.61
Benton,53005010500,63,15212,445.21,339.15,578.29
Benton,53005010600,85,21636,349.45,277.56,437.69
Benton,53005010701,63,11486,592.88,408.58,876.41
Benton,53005010703,85,15950,418.23,331.98,524.82
Benton,53005010705,133,27662,558.7,451.44,697.81
Benton,53005010707,73,16339,554.15,427.61,715.57
Benton,53005010708,89,19878,413.09,326.17,522.57
Benton,53005010803,230,43336,424.95,369.28,489.31
Benton,53005010805,208,33187,506.96,435.49,590.91
Benton,53005010807,29,6075,415.71,253.3,702.86
Benton,53005010809,172,32744,508.39,431.34,596.84
Benton,53005010810,167,25762,452.29,383.35,535.14
Benton,53005010811,105,21587,644.77,487.83,851.75
Benton,53005010813,321,65794,361.63,321.09,407.18
Benton,53005010814,112,20446,703.72,546.05,916.17
Benton,53005010901,121,31441,436.35,360.25,526.2
Benton,53005010902,97,25007,431.92,344.63,539.29
Benton,53005011001,138,25275,473.02,393.59,568.31
Benton,53005011002,99,23629,434.61,351.76,534.3
Benton,53005011100,201,37639,492.4,425.3,568.81
Benton,53005011200,108,42368,379.9,310.04,462.04
Benton,53005011300,102,25603,448.23,364.18,547.78
Benton,53005011401,77,19760,444.53,345.09,573.97
Benton,53005011402,135,26096,378.36,312.72,457.18
Benton,53005011501,158,34513,384.13,322.91,456.13
Benton,53005011503,297,53541,429.45,380.35,484.83
Benton,53005011504,66,15187,560.15,414.14,754.1
Benton,53005011600,NULL,4954,NULL,NULL,NULL
Benton,53005011700,120,37046,290.69,239.71,351.08
Benton,53005011800,119,34335,352.45,287.74,431.78
Benton,53005011900,125,31432,342.18,279.84,417.17
Benton,53005012000,0,25,0,0,0
Chelan,53007960100,50,12826,248.41,181.31,345.66
Chelan,53007960200,235,34510,407.36,348.93,477.55
Chelan,53007960300,171,35209,303.34,256.91,359.38
Chelan,53007960400,85,21636,289.17,228.14,366.45
Chelan,53007960500,139,35156,292.81,243.85,350.9
Chelan,53007960600,122,20036,446.29,366.08,543.38
Chelan,53007960700,170,19130,617.96,520.21,740.83
Chelan,53007960801,103,14443,435.63,343.39,569.22
Chelan,53007960802,259,39511,471.1,411.68,538.92
Chelan,53007961000,167,33772,493.22,420.15,576.79
