County,Median Household Income,Lower ME,Upper ME,Rank
Adams,48294,42694,53894,2
Asotin,53715,50654,56776,4
Benton,69023,67417,70629,9
Chelan,58795,56791,60799,7
Clallam,52192,50224,54160,3
Clark,75253,73930,76576,10
Columbia,53423,45551,61295,3
Cowlitz,54506,52598,56414,4
Douglas,62951,59554,66348,7
Ferry,41939,37746,46132,1
Franklin,63584,61404,65764,7
Garfield,55900,46308,65492,5
Grant,55556,53136,57976,5
Grays Harbor,51240,48751,53729,2
Island,68604,66681,70527,8
Jefferson,55127,51272,58982,5
King,94974,94248,95700,10
Kitsap,75411,74008,76814,10
Kittitas,56004,53448,58560,6
Klickitat,55773,50878,60668,5
Lewis,53484,51799,55169,4
Lincoln,54631,50132,59130,4
Mason,57634,55457,59811,6
Okanogan,47240,45139,49341,1
Pacific,46733,43710,49756,1
Pend Oreille,50591,47511,53671,2
Pierce,72113,71280,72946,9
San Juan,63622,61717,65527,8
Skagit,67028,65242,68814,8
Skamania,65181,61063,69299,8
Snohomish,86691,85871,87511,10
Spokane,56904,55952,57856,6
Stevens,51775,50046,53504,3
Thurston,72003,70605,73401,9
Wahkiakum,53227,45808,60646,3
Walla Walla,57858,54080,61636,6
Whatcom,62984,61593,64375,7
Whitman,42745,40427,45063,1
Yakima,51637,50607,52667,2
